Short_ID,Actual_Vol_SPE'd_mL,Empty_Vial,Vial_and_MeOH,g_MeOH,mL_MeOH
5.B.1,12,6.7554,7.4374,0.6820,0.86024218
5.C.1,12,6.7710,7.4159,0.6449,0.813446014
1.C.1,12,6.7307,7.3976,0.6669,0.841195762
1.B.1,12,6.7644,7.4150,0.6506,0.820635721
0.A.6,12,6.7355,7.4149,0.6794,0.856962664
0.B.6,12,6.8018,7.4767,0.6749,0.851286579
0.C.5,12,6.7202,7.4008,0.6806,0.858476287
01.B.6,12,6.7261,7.4158,0.6897,0.869954591
01.A.6,12,6.7771,7.4452,0.6681,0.842709384
1.B.6,12,6.7585,7.4248,0.6663,0.840438951
0.C.4,12,6.7909,7.4743,0.6834,0.862008073
100.C.3,2.5,6.7575,7.3591,0.6016,0.758829465
25.B.4,4,6.7271,7.3955,0.6684,0.84308779
100.B.4,4,6.7489,7.4169,0.6680,0.842583249
100.C.4,4,6.7333,7.3856,0.6523,0.82278002
25.B.6,6,6.7405,7.4036,0.6631,0.836402624
25.A.6,6,6.7382,7.4020,0.6638,0.83728557
15.C.6,6,6.7421,7.3888,0.6467,0.815716448
5.C.5,6,6.7633,7.4143,0.6510,0.821140262
5.A.5,6,6.7649,7.4258,0.6609,0.833627649
5.B.5,6,6.7290,7.4168,0.6878,0.867558022
01.C.2,3,6.7855,7.4427,0.6572,0.828960646
Blk3,4,6.7325,7.3994,0.6669,0.841195762
25.C.1,12,6.7464,7.3865,0.6401,0.807391524
5.A.1,12,6.7782,7.4563,0.6781,0.855322906
100.B.1,6,6.7377,7.3918,0.6541,0.825050454
100.A.1,6,6.8011,7.5021,0.7010,0.884207871
100.C.1,6,6.7594,7.4408,0.6814,0.859485368
25.A.1,6,6.7371,7.3666,0.6295,0.794021191
01.B.1,6,6.7426,7.412,0.6694,0.844349142
01.A.1,6,6.7653,7.4317,0.6664,0.840565086
01.C.1,6,6.7409,7.3825,0.6416,0.809283552
0.B.5,6,6.7428,7.4417,0.6989,0.881559031
0.A.5,6,6.7803,7.3872,0.6069,0.765514632
0.A.4,6,6.7663,7.3878,0.6215,0.783930373
01.A.5,6,6.7557,7.3951,0.6394,0.806508577
0.B.4,6,6.7843,7.4552,0.6709,0.846241171
01.B.5,6,6.7829,7.3917,0.6088,0.767911201
01.C.5,6,6.7553,7.4218,0.6665,0.840691221
01.B.4,6,6.7254,7.3688,0.6434,0.811553986
01.A.4,6,6.7350,7.3898,0.6548,0.825933401
01.C.4,6,6.7395,7.3896,0.6501,0.820005045
1.B.5,6,6.7451,7.4042,0.6591,0.831357215
1.A.6,6,6.7412,7.4134,0.6722,0.847880928
1.A.5,6,6.7688,7.4356,0.6668,0.841069627
1.C.5,6,6.7737,7.4548,0.6811,0.859106963
5.A.6,6,6.7700,7.4656,0.6956,0.877396569
5.B.6,6,6.7257,7.4194,0.6937,0.875
5.C.6,6,6.7316,7.4273,0.6957,0.877522704
100.A.2,19,6.7266,7.4295,0.7029,0.88660444
100.B.2,20,6.7336,7.3973,0.6637,0.837159435
100.C.2,19,6.7593,7.3494,0.5901,0.744323915
25.A.2,20,6.7384,7.4098,0.6714,0.846871847
25.B.2,20,6.7266,7.3899,0.6633,0.836654894
25.C.2,20,6.7698,7.3754,0.6056,0.763874874
5.B.2,4,6.7553,7.395,0.6397,0.806886983
5.C.2,4,6.7354,7.388,0.6526,0.823158426
5.A.2,4,6.7556,7.4026,0.6470,0.816094854
1.A.2,4,6.7394,7.4016,0.6622,0.835267407
1.B.2,4,6.7543,7.4403,0.6860,0.865287588
1.C.2,4,6.7614,7.4198,0.6584,0.830474268
0.C.1,4,6.7804,7.4588,0.6784,0.855701312
0.A.2,4,6.7981,7.4627,0.6646,0.838294652
