O2_.,Cond,rundate.x,units,Salinity..g.L.,sample_name,date,Fe2_ppm,Fe2_mg,Fe2_mg.g,FeTotal_ppm,FeTotal_mg,FeTotal_mg.g,Fe3_ppm,Fe3_mg.g,rundate.y,doc_mg_l,npoc_flag,Treatment,Wash,Fraction,Group,mean_doc_mg_l,sd_doc_mg_l,mean_Fe2_ppm,sd_Fe2_ppm,mean_Fe3_ppm,sd_Fe3_ppm,mean_FeTotal_ppm,sd_FeTotal_ppm,mean_Fe2_mg/g,sd_Fe2_mg/g,mean_Fe3_mg/g,sd_Fe3_mg/g,mean_FeTotal_mg/g,sd_FeTotal_mg/g,mean_Fe2_mg,sd_Fe2_mg,mean_FeTotal_mg,sd_FeTotal_mg,mean_O2%,sd_O2%,mean_Cond_mS,sd_Cond_mS,mean_salinity_g/L,sd_salinity_g/L
34.4,0.021329999999999998,20-Mar-24,mS,0.00709786770886224,AW1.DI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AW,1,Blank,AW Blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.599999999999994,1.1313708498984771,24.660664999999998,34.84528172485408,16.195550277871074,22.893928952282817
26.82,0.03436,20-Mar-24,mS,0.01192258068773791,AW2.DI,3/8/2024,0.47,0.522222222,0.522222222,0.29,0.322222222,0.322222222,-0.18,-0.2,20240307,0.93,blank is ≥ 15% of sample value,AW,2,Blank,AW Blank,0.9650000000000001,0.04949747468305829,0.345,0.17677669529663687,0.010000000000000009,0.26870057685088805,0.355,0.09192388155425119,0.383333333,0.19641855048673137,0.011111110999999993,0.2985561963438519,0.3944444445,0.10213764656422727,0.383333333,0.19641855048673137,0.3944444445,0.10213764656422727,26.585,0.33234018715767655,5.30218,7.449822488140238,3.038528422209748,4.280267029038061
18.55,0.0041600000000000005,20-Mar-24,mS,0.0011992269316946553,AW3.DI,3/8/2024,0.28,0.311111111,0.311111111,0.35,0.388888889,0.388888889,0.07,0.077777778,20240307,0.63,blank is ≥ 15% of sample value,AW,3,Blank,AW Blank,1.155,0.7424621202458749,0.24000000000000002,0.05656854249492382,0.07,0,0.31,0.056568542494923775,0.2666666665,0.06285393618403831,0.077777778,0,0.3444444445,0.06285393618403833,0.2666666665,0.06285393618403831,0.3444444445,0.06285393618403833,18.58,0.042426406871191945,16.25708,22.985099892164925,10.294825928550186,14.557386487434696
16.97,0.005860000000000001,20-Mar-24,mS,0.0017408873710560418,AW4.DI,3/8/2024,0.04,0.044444444,0.044444444,0.08,0.088888889,0.088888889,0.04,0.044444444,20240307,2.29,NA,AW,4,Blank,AW Blank,1.485,1.1384419177103415,0.025,0.021213203435596427,0.045,0.007071067811865477,0.07,0.014142135623730954,0.0277777775,0.023570225803849324,0.05,0.007856742641723221,0.07777777799999999,0.015713483869232884,0.0277777775,0.023570225803849324,0.07777777799999999,0.015713483869232884,16.955,0.021213203435594716,13.69793,19.363511090961783,8.544339781509114,12.081059214003446
23.29,0.1685,20-Mar-24,mS,0.06722750984381705,AW5.DI,3/8/2024,NA,NA,NA,0.01,0.011111111,NA,NA,NA,20240307,0.65,blank is ≥ 15% of sample value,AW,5,Blank,AW Blank,1.3299999999999998,0.9616652224137044,NA,NA,NA,NA,0.034999999999999996,0.035355339059327376,NA,NA,NA,NA,NA,NA,NA,NA,0.038888888999999996,0.039283710380188984,23.119999999999997,0.24041630560342606,18.68925,26.1922958353215,11.956605450542565,16.81411953191567
102,0.3722,20-Mar-24,mS,0.15919967692461953,OW1.DI,NA,NA,NA,NA,NA,NA,NA,NA,NA,20240307,0.66,blank is ≥ 15% of sample value,OW,1,Blank,OW Blank,0.825,0.23334523779156066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.15,0.21213203435596223,24.6161,34.28605218481708,16.1144619285888,22.564148267522967
102.7,0.02144,20-Mar-24,mS,0.007137694649057536,OW2.DI,3/8/2024,0.22,0.244444444,0.244444444,0.33,0.366666667,0.366666667,0.11,0.122222222,20240307,0.5,blank is ≥ 15% of sample value,OW,2,Blank,OW Blank,0.69,0.26870057685088805,0.24,0.02828427124746191,0.08,0.042426406871192854,0.32,0.014142135623730963,0.2666666665,0.03142696844557252,0.088888889,0.047140451607698655,0.3555555555,0.015713484576339653,0.2666666665,0.03142696844557252,0.3555555555,0.015713484576339653,101.75,1.3435028842544443,24.77572,35.00783850278106,16.27776025449071,23.010135092381706
97.72,0.00209,20-Mar-24,mS,5.671615465866772e-4,OW3.DI,3/8/2024,0.08,0.088888889,0.088888889,0.13,0.144444444,0.144444444,0.05,0.055555556,20240307,0.45,blank is ≥ 15% of sample value,OW,3,Blank,OW Blank,0.765,0.44547727214752497,0.07,0.014142135623730954,0.015000000000000001,0.04949747468305833,0.09,0.0565685424949238,0.07777777799999999,0.015713483869232884,0.0222222225,0.04714045231480543,0.1,0.06285393547693154,0.07777777799999999,0.015713483869232884,0.1,0.06285393547693154,94.465,4.6032651455244284,20.251045,28.636346784882495,13.074366247862766,18.48914397960932
95.32,0.0024,20-Mar-24,mS,6.592428630330347e-4,OW4.DI,3/8/2024,0.03,0.033333333,0.033333333,0.08,0.088888889,0.088888889,0.05,0.055555556,20240307,0.34,blank is ≥ 15% of sample value,OW,4,Blank,OW Blank,0.595,0.3606244584051392,0.02,0.01414213562373095,0.060000000000000005,0.014142135623730954,0.08,0,0.022222222,0.015713483869232884,0.066666667,0.015713483869232887,0.088888889,0,0.022222222,0.015713483869232884,0.088888889,0,88.985,8.959042917633548,21.9312,31.012006366567125,14.25850345423241,20.163636653921298
101.1,0.00442,20-Mar-24,mS,0.0012809789486062312,OW5.DI,3/8/2024,NA,NA,NA,0.06,0.066666667,NA,NA,NA,20240307,0.38,blank is ≥ 15% of sample value,OW,5,Blank,OW Blank,0.7250000000000001,0.48790367901871784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.07,7.113494218736659,20.93221,29.596364448496036,13.552997952685779,19.165021937700786
102.3,48.86,20-Mar-24,mS,32.069724180252976,OW1.ASW,NA,NA,NA,NA,NA,NA,NA,NA,NA,20240307,0.99,blank is ≥ 15% of sample value,OW,1,Blank,OW Blank,0.825,0.23334523779156066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.15,0.21213203435596223,24.6161,34.28605218481708,16.1144619285888,22.564148267522967
32.8,49.3,20-Mar-24,mS,32.384002688033284,AW1.ASW,NA,NA,NA,NA,NA,NA,NA,NA,NA,20240307,0.99,blank is ≥ 15% of sample value,AW,1,Blank,AW Blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.599999999999994,1.1313708498984771,24.660664999999998,34.84528172485408,16.195550277871074,22.893928952282817
100.8,49.53,20-Mar-24,mS,32.548382814332356,OW2.ASW,3/8/2024,0.26,0.288888889,0.288888889,0.31,0.344444444,0.344444444,0.05,0.055555556,20240307,0.88,blank is ≥ 15% of sample value,OW,2,Blank,OW Blank,0.69,0.26870057685088805,0.24,0.02828427124746191,0.08,0.042426406871192854,0.32,0.014142135623730963,0.2666666665,0.03142696844557252,0.088888889,0.047140451607698655,0.3555555555,0.015713484576339653,0.2666666665,0.03142696844557252,0.3555555555,0.015713484576339653,101.75,1.3435028842544443,24.77572,35.00783850278106,16.27776025449071,23.010135092381706
26.35,10.57,20-Mar-24,mS,6.065134263731758,AW2.ASW,3/8/2024,0.22,0.244444444,0.244444444,0.42,0.466666667,0.466666667,0.2,0.222222222,20240307,1,blank is ≥ 15% of sample value,AW,2,Blank,AW Blank,0.9650000000000001,0.04949747468305829,0.345,0.17677669529663687,0.010000000000000009,0.26870057685088805,0.355,0.09192388155425119,0.383333333,0.19641855048673137,0.011111110999999993,0.2985561963438519,0.3944444445,0.10213764656422727,0.383333333,0.19641855048673137,0.3944444445,0.10213764656422727,26.585,0.33234018715767655,5.30218,7.449822488140238,3.038528422209748,4.280267029038061
91.21,40.5,20-Mar-24,mS,26.148165334178945,OW3.ASW,3/8/2024,0.06,0.066666667,0.066666667,0.05,0.055555556,0.055555556,-0.02,-0.011111111,20240307,1.08,blank is ≥ 15% of sample value,OW,3,Blank,OW Blank,0.765,0.44547727214752497,0.07,0.014142135623730954,0.015000000000000001,0.04949747468305833,0.09,0.0565685424949238,0.07777777799999999,0.015713483869232884,0.0222222225,0.04714045231480543,0.1,0.06285393547693154,0.07777777799999999,0.015713483869232884,0.1,0.06285393547693154,94.465,4.6032651455244284,20.251045,28.636346784882495,13.074366247862766,18.48914397960932
18.61,32.51,20-Mar-24,mS,20.588452630168675,AW3.ASW,3/8/2024,0.2,0.222222222,0.222222222,0.27,0.3,0.3,0.07,0.077777778,20240307,1.68,blank is ≥ 15% of sample value,AW,3,Blank,AW Blank,1.155,0.7424621202458749,0.24000000000000002,0.05656854249492382,0.07,0,0.31,0.056568542494923775,0.2666666665,0.06285393618403831,0.077777778,0,0.3444444445,0.06285393618403833,0.2666666665,0.06285393618403831,0.3444444445,0.06285393618403833,18.58,0.042426406871191945,16.25708,22.985099892164925,10.294825928550186,14.557386487434696
